query,dynFromId,meta,left,keyword,right
目眩,26,Republican era-晚晴簃詩匯-卷一百三十二,。應接聲色勞，遠近耳,目眩,衣裝無寸乾，吾游豈告
目眩,26,Republican era-晚晴簃詩匯-卷一百四十,洶。馮夷龍女雜沓舞，,目眩,驚兩肩聳。恍惚身寄蓬
目眩,26,Republican era-晚晴簃詩匯-卷一百五十二,碎玉滾滾隨銀潢。耳聾,目眩,魄悸，仿佛神仙鸞鳳參
目眩,26,Republican era-晚晴簃詩匯-卷一百五十八,凶。我船亦須從此入，,目眩,搖神恍惚。敢誇忠信涉
目眩,26,Republican era-晚晴簃詩匯-卷一百六十一,。再向磯頭立縹緲，耳,目眩,身疑傾。我想子丑開闢
目眩,26,Republican era-晚晴簃詩匯-卷一百六十七,，淺流仍屢渡。奇觀既,目眩,異響複心怖。山行無遲
目眩,26,Republican era-晚晴簃詩匯-卷一百七十六,十步摧輪五步顛，精搖,目眩,生怖。有如挽舟上惡灘
目眩,26,Republican era-晚晴簃詩匯-卷一百八十二,犬希拜舞如有聞。出門,目眩,直視，霞烘海色初黃昏
目眩,26,Republican era-晚晴簃詩匯-卷一百八十八,。憑欄立移時，心搖更,目眩,澄影寫心心，鑒光窺面
瞋,26,Republican era-晚晴簃詩匯-卷二十,蟻聚蜂屯已入城，持矛,瞋,呼狂賊。戰馬嘶鳴失主
瞋,26,Republican era-晚晴簃詩匯-卷二十九,，蠶絲煙篆交回縈。目,瞋,突五劍客，短後之衣曼
瞋,26,Republican era-晚晴簃詩匯-卷三十七,混樵農。及聞嗣昌死，,瞋,叱蒼穹。賊不膏我刃，
瞋,26,Republican era-晚晴簃詩匯-卷四十五,恣探逐。洞裏仙人不我,瞋,遍啟窗欞驅蝙蝠。數堆
瞋,26,Republican era-晚晴簃詩匯-卷四十五,夜闌說劍孤軍裏。虎頭,瞋,盤當中，其意自命為梟
瞋,26,Republican era-晚晴簃詩匯-卷四十六,念彼生理困，未忍加詈,瞋,尋思插芒棘，刺手傷吾
瞋,26,Republican era-晚晴簃詩匯-卷八十,聯為腹。偶作劉誓妻孥,瞋,深辨頡書神鬼哭。東坡
瞋,26,Republican era-晚晴簃詩匯-卷九十六,  將軍之矛丈八尺，,瞋,當橋勇無敵。力士之錐
瞋,26,Republican era-晚晴簃詩匯-卷一百十五,革。白日畫晦飛劫塵，,瞋,直入鏖波旬。波旬萬千
瞋,26,Republican era-晚晴簃詩匯-卷一百十七,記幽興，入山不早山靈,瞋,  *白蘋洲懷柳文暢
瞋,26,Republican era-晚晴簃詩匯-卷一百二十,嬌小不識耶，見我顏欲,瞋,婦言家中事，日益大艱
瞋,26,Republican era-晚晴簃詩匯-卷一百二十二,，菊花開處過重陽。莫,瞋,顗馳名早，多謝陳暄為
瞋,26,Republican era-晚晴簃詩匯-卷一百二十三,靜鎮爾豈能，聞賊意則,瞋,城中擊鐘鼓，城外叢棘
瞋,26,Republican era-晚晴簃詩匯-卷一百三十四,英雄死，志氣人高鬼蜮,瞋,何日壯懷伸，歸臥靈岩
瞋,26,Republican era-晚晴簃詩匯-卷一百三十五,壯劉室。不知何姓小侯,瞋,不知何客惎將軍。將軍
瞋,26,Republican era-晚晴簃詩匯-卷一百三十六,姍姍其來遲。不作咆哮,瞋,睢，不作■𠩉試擊椎。
瞋,26,Republican era-晚晴簃詩匯-卷一百五十八,命，盍斷爪牙無使橫。,瞋,大呼認不諱，同謀尚有
瞋,26,Republican era-晚晴簃詩匯-卷一百六十二,，漠南蕃部性雄強。目,瞋,難孰能馭，指揮赴敵如
瞋,26,Republican era-晚晴簃詩匯-卷一百六十三,，凶徒俄蟻萃。元戎空,瞋,，老將或垂淚。飛炮鳴
瞋,26,Republican era-晚晴簃詩匯-卷一百六十七,舉棋頻，梟鳥聲多漸惹,瞋,吾舌能令金馬泣，軍心
瞋,26,Republican era-晚晴簃詩匯-卷一百七十五,相持哭，小眼含淚大眼,瞋,眼開眼闔光瞵瞵。如此
瞋,26,Republican era-晚晴簃詩匯-卷一百八十一,噬，攫人不得作人立。,瞋,狋狋兩杯凸，利爪怒搏
瞋,26,Republican era-晚晴簃詩匯-卷一百八十四,由它人，樂可自尋苦勿,瞋,天爵良貴何曾賤，日新
瞋,26,Republican era-晚晴簃詩匯-卷一百八十九,。怠逸成荒廢，嬌癡遭,瞋,。夫子相慰言，汝言何
瞋,26,Republican era-大元一統志-大元一統志,將軍矣賊始欲生致昭昭,瞋,仗劍無敢向者賊知不可
盱,26,Republican era-晚晴簃詩匯-卷二十一,，侁侁服犢犁。  *,盱,道中  都梁西下路，
盱,26,Republican era-晚晴簃詩匯-卷二十六,。  *八月十六夜宴,盱,樓得白字  江城霽夕
盱,26,Republican era-晚晴簃詩匯-卷三十一,涇原既清，群賊大睢睢,盱,，延旦夕之命。帝命臣
盱,26,Republican era-晚晴簃詩匯-卷三十一,原既清，群賊大睢睢盱,盱,延旦夕之命。帝命臣海
盱,26,Republican era-晚晴簃詩匯-卷三十八,。  *同綏岩明府飲,盱,擁碧樓題恆止上人壁 
盱,26,Republican era-晚晴簃詩匯-卷四十,。同調罷相鬥，望塵徒,盱,。傾心廿餘載，幾易裘
盱,26,Republican era-晚晴簃詩匯-卷四十五,趫捷矜絕倫。青春亡命,盱,市，白發埋名說事人。
盱,26,Republican era-晚晴簃詩匯-卷四十五,，曠望一追攀。  *,盱,  曉發盱眙縣，煙嵐
盱,26,Republican era-晚晴簃詩匯-卷四十五,。  *盱眙  曉發,盱,縣，煙嵐極望遙。東風
盱,26,Republican era-晚晴簃詩匯-卷四十五,跡自迢迢。唐常建曾尉,盱,。  *圓通閣寺門即
盱,26,Republican era-晚晴簃詩匯-卷四十九,幾鬥血。藏身百慮目長,盱,無聊走險成下愚。揚鬐
盱,26,Republican era-晚晴簃詩匯-卷六十一,。哲兄竟已矣，諸子空,盱,。贈君加餐飯，歲暮以
盱,26,Republican era-晚晴簃詩匯-卷六十三,置先生夷惠間。  *,盱,夜泛  兩行疏柳夾河
盱,26,Republican era-晚晴簃詩匯-卷七十八,天溟漲百粵東，彌漫水,盱,浮龐鴻。近與日本琉球
盱,26,Republican era-晚晴簃詩匯-卷七十八,迢遙望闕三呼嵩，我昔,盱,策短筇。岳瀆廟內神明
盱,26,Republican era-晚晴簃詩匯-卷八十,齋詩集》。  *早至,盱,  秋風瀑布吼飛泉，
盱,26,Republican era-晚晴簃詩匯-卷八十二,指裂飛鬐，手瓶擲裴妻,盱,。臥者起趨自褰帷，齒
盱,26,Republican era-晚晴簃詩匯-卷八十四,春及堂詩集》。  *,盱,縣懷古用杜工部九成宮
盱,26,Republican era-晚晴簃詩匯-卷八十四,用杜工部九成宮韻  ,盱,南山湄，泗城浸如臼。
盱,26,Republican era-晚晴簃詩匯-卷九十一,，空輸買賦金。  *,盱,懷常尉建  昔人耽吏
盱,26,Republican era-晚晴簃詩匯-卷九十一,怛犁御，五百城渚環睢,盱,華鬘象馬有威德，蓬裸
盱,26,Republican era-晚晴簃詩匯-卷一百一,樵風便，能諧漁父心。,盱,江上客，翻入城人吟。
盱,26,Republican era-晚晴簃詩匯-卷一百十三,，海熟番荒生計崇。睢,盱,憐窮發窮，花鬘麻達罔
盱,26,Republican era-晚晴簃詩匯-卷一百十五,跳撲朔。窺隙豈更張睢,盱,竹間松際走且逋。不敢
盱,26,Republican era-晚晴簃詩匯-卷一百十八,先生精彩固不敝，奮袂,盱,見其概。今我老憊複坎
盱,26,Republican era-晚晴簃詩匯-卷一百十八,備柳營七校。耳目留睢,盱,孫子安啄抱。揮帚列砦
盱,26,Republican era-晚晴簃詩匯-卷一百二十,，百日愁臥一日豪。睢,盱,怪刺腸肚，心疑臥榻藏
盱,26,Republican era-晚晴簃詩匯-卷一百二十五,，字子和，一字味蘭，,盱,人。嘉慶癸酉舉人，大
盱,26,Republican era-晚晴簃詩匯-卷一百二十五,空穀欲何云。  *自,盱,至金陵道中作  秋風
盱,26,Republican era-晚晴簃詩匯-卷一百二十六,槎拾，碑禁啞泉漱。睢,盱,寡營，寒苦骨易壽。矧
盱,26,Republican era-晚晴簃詩匯-卷一百三十三,燕堂集》。  *歸次,盱,感賦  昔年羸馬經過
盱,26,Republican era-晚晴簃詩匯-卷一百三十七,艮吉齋詩存》。  *,盱,試玻璃泉贈韓俊民  
盱,26,Republican era-晚晴簃詩匯-卷一百三十八,棠  吳棠，字仲仙，,盱,人。道光乙未舉人，由
盱,26,Republican era-晚晴簃詩匯-卷一百四十五,各交煽，十二監勢尤睢,盱,深宮定制杜奸偽，牙牌
盱,26,Republican era-晚晴簃詩匯-卷一百五十,待醉翁。  *十六日,盱,度山趨河上橋  昨朝
盱,26,Republican era-晚晴簃詩匯-卷一百六十二,怯戰虜。何況羅剎逞睢,盱,六國同聲畏狼虎。一自
盱,26,Republican era-晚晴簃詩匯-卷一百六十五,呵。窮途有客歸不得，,盱,厲色君則那。歸鴉點點
盱,26,Republican era-晚晴簃詩匯-卷一百七十六,豪健。猺猓皆家人，睢,盱,明訓。政成召和甘，寒
盱,26,Republican era-晚晴簃詩匯-卷一百八十二,三四餘，大蛇奔竄猶睢,盱,我今寄食走窮谷，常恐
盱,26,Republican era-晚晴簃詩匯-卷一百九十八,禪  了禪，字月輝，,盱,人，本姓雷。主定慧寺
盱,26,Republican era-晚晴簃詩匯-卷一百九十九,下，空簷鳥雀喧。可憐,盱,盡，徒有簡編存。淚灑
瞚,26,Republican era-晚晴簃詩匯-卷四十七,誰繼作。繁華銷歇只轉,瞚,永世長存惟淡泊。司馬
瞚,26,Republican era-晚晴簃詩匯-卷六十九,。欻然風利得仙助，搖,瞚,自登瀛洲。振衣上更上
瞚,26,Republican era-晚晴簃詩匯-卷一百二十八,待君剖。君不見西風轉,瞚,天廊，平原漠漠鴟聲惡
瞑,26,Republican era-晚晴簃詩匯-卷八,一雨釀深秋。雲黯窗先,瞑,林陰翠欲流。湖山觀不
瞑,26,Republican era-晚晴簃詩匯-卷九,西崦日將沈，前村煙欲,瞑,敲葉雨聲繁，號林風勢
瞑,26,Republican era-晚晴簃詩匯-卷十二,麗藻爭虎倀。老我目難,瞑,子孫眉翻揚。變局忌傷
瞑,26,Republican era-晚晴簃詩匯-卷十二,得，獨坐有情難。賈客,瞑,穩，荒雞覺夜闌。菰蘆
瞑,26,Republican era-晚晴簃詩匯-卷二十,紫御汪。絕吭蘇又咽，,瞑,倦微揚。裹褥移私第，
瞑,26,Republican era-晚晴簃詩匯-卷三十五,勝事不多讓。花垂慈姥,瞑,潮生牛渚漲。大雅豈複
瞑,26,Republican era-晚晴簃詩匯-卷三十六,，修綆垂毫芒。仰睇愁,瞑,，況乃窮八荒。昔夢逐
瞑,26,Republican era-晚晴簃詩匯-卷四十一,遣懷  秋意日寥廓，,瞑,散微雨。高風天外來，
瞑,26,Republican era-晚晴簃詩匯-卷五十一,點欲污。尸猶思指佞，,瞑,為憐吳。定論中朝在，
瞑,26,Republican era-晚晴簃詩匯-卷五十五,吹葉，散落江之湄。欲,瞑,更寂，淺渚生漣漪。蒲
瞑,26,Republican era-晚晴簃詩匯-卷七十二,。雨飛知向何處黑，鷺,瞑,立沙漘微。舵樓傳鐘崖
瞑,26,Republican era-晚晴簃詩匯-卷七十九,燕北秋風吹客衣。我緣,瞑,冒寒暑，短榻茶煙羈逆
瞑,26,Republican era-晚晴簃詩匯-卷九十二,品居首，莊誦萬一昭聾,瞑,柳公度人褚遺教，誰若
