['管仲', [-725, -645]]
['葉夢得', [1077, 1148]]
['薛道光', [1078, 1191]]
['許叔微', [1079, 1154]]
['黃伯思', [1079, 1118]]
['汪藻', [1079, 1154]]
['趙明誠', [1081, 1129]]
['趙佶', [1082, 1135]]
['李清照', [1084, 1155]]
['呂本中', [1084, 1145]]
['趙鼎', [1085, 1147]]
['朱弁', [1085, 1144]]
['洪皓', [1088, 1155]]
['陳與義', [1090, 1138]]
['鮑彪', [1091]]
['張浚', [1097, 1164]]
['朱翌', [1097, 1167]]
['胡寅', [1098, 1156]]
['吳棫', [1100, 1154]]
['劉子翬', [1101, 1147]]
['鄭樵', [1104, 1162]]
['蔡松年', [1105, 1159]]
['胡仔', [1110, 1170]]
['王十朋', [1112, 1171]]
['林之奇', [1112, 1176]]
['洪适', [1117, 1184]]
['熊克', [1118, 1194]]
['韓元吉', [1118]]
['洪遵', [1120, 1174]]
['馬鈺', [1122, 1184]]
['程大昌', [1123, 1195]]
['譚處端', [1123, 1185]]
['徐夢莘', [1124, 1207]]
['陆游', [1125, 1210]]
['陸游', [1125, 1210]]
['范成大', [1126, 1193]]
['鄭汝諧', [1126, 1205]]
['周必大', [1126, 1204]]
['王明清', [1127]]
['梁克家', [1128, 1187]]
['項安世', [1129, 1208]]
['朱熹', [1130, 1200]]
['朱子', [1130, 1200]]
['羅泌', [1131, 1189]]
['張栻', [1133, 1180]]
['薛季宣', [1134, 1173]]
['周去非', [1135, 1189]]
['唐仲友', [1136, 1188]]
['陳傅良', [1137, 1203]]
['呂祖謙', [1137, 1181]]
['朱震', [1138]]
['陸九淵', [1139, 1193]]
['辛棄疾', [1140, 1207]]
['陳亮', [1143, 1194]]
['戴溪', [1144, 1215]]
['倪思', [1147, 1220]]
['劉處玄', [1147, 1203]]
['丘處機', [1148, 1227]]
['王觀國', [1150]]
['王楙', [1151, 1213]]
['姜夔', [1155, 1209]]
['趙秉文', [1159, 1232]]
['程珌', [1164, 1242]]
['葛立方', [1165]]
['戴復古', [1167, 1248]]
['尹志平', [1169, 1251]]
['趙與時', [1172, 1228]]
['王若虛', [1174, 1243]]
['魏了翁', [1178, 1237]]
['真德秀', [1178, 1235]]
['陳振孫', [1179, 1262]]
['包恢', [1182, 1268]]
['宋慈', [1186, 1249]]
['劉克莊', [1187, 1269]]
['耶律楚材', [1190, 1244]]
['李冶', [1192, 1279]]
['史繩祖', [1192, 1274]]
['林希逸', [1193, 1271]]
['王柏', [1197, 1274]]
['一然', [1206, 1289]]
['傅寅', [1215]]
['耶律鑄', [1221, 1285]]
['王應麟', [1223, 1296]]
['郝經', [1223, 1275]]
['謝枋得', [1226, 1289]]
['呂大圭', [1227, 1275]]
['胡三省', [1230, 1302]]
['黄仲元', [1231, 1312]]
['金履祥', [1232, 1303]]
['周密', [1232, 1298]]
['文天祥', [1236, 1283]]
['楊輝', [1238, 1298]]
['姚燧', [1239, 1314]]
['戴表元', [1244, 1310]]
['熊朋來', [1246, 1323]]
['鄧牧', [1247, 1306]]
['趙汝楳', [1250]]
['趙孟頫', [1254, 1322]]
['馬端臨', [1254, 1323]]
['陳澔', [1260, 1341]]
['吾丘衍', [1268, 1272]]
['元明善', [1269, 1332]]
['范梈', [1272, 1330]]
['薩都拉', [1272, 1355]]
['揭傒斯', [1274, 1344]]
['黃溍', [1277, 1357]]
['周德清', [1277, 1365]]
['朱丹溪', [1281, 1358]]
['柯九思', [1290, 1343]]
['鄭元祐', [1292, 1364]]
['楊維楨', [1296, 1370]]
['汪克寬', [1301, 1372]]
['王冕', [1310, 1359]]
['陶安', [1310, 1368]]
['宋濂', [1310, 1381]]
['徐一夔', [1315, 1400]]
['王褘', [1322, 1374]]
['楊基', [1326, 1380]]
['陶宗儀', [1329, 1410]]
['高啟', [1336, 1373]]
['朱善', [1340, 1413]]
['瞿佑', [1347, 1433]]
['方孝孺', [1357, 1402]]
['楊士奇', [1365, 1444]]
['呂震', [1365, 1426]]
['曹端', [1376, 1434]]
['朱松', [1380, 1407]]
['商輅', [1414, 1486]]
['葉盛', [1420, 1474]]
['岳正', [1420, 1474]]
['邱濬', [1421, 1495]]
['丘濬', [1421, 1495]]
['柯潛', [1423, 1473]]
['姜清', [1423]]
['馬文升', [1426, 1510]]
['沈周', [1427, 1509]]
['陳獻章', [1428, 1500]]
['余金', [1430, 1489]]
['許起', [1433]]
['胡居仁', [1434, 1484]]
['吳寬', [1435, 1504]]
['陸容', [1436, 1494]]
['章懋', [1437, 1522]]
['莊昶', [1437, 1499]]
['李介', [1445, 1498]]
['程敏政', [1445, 1499]]
['李東陽', [1447, 1516]]
['王鏊', [1450, 1524]]
['蔡清', [1453, 1508]]
['都穆', [1459, 1525]]
['湛若水', [1466, 1560]]
['王九思', [1468, 1551]]
['文徵明', [1470, 1559]]
['王守仁', [1472, 1529]]
['李夢陽', [1472, 1529]]
['王廷相', [1474, 1544]]
['陳鳳梧', [1475, 1541]]
['邊貢', [1476, 1532]]
['顧璘', [1476, 1545]]
['崔銑', [1478, 1541]]
['韓邦奇', [1479, 1556]]
['呂柟', [1479, 1542]]
['夏良勝', [1480, 1538]]
['何景明', [1483, 1521]]
['鄭善夫', [1485, 1523]]
['任洛', [1485]]
['郎瑛', [1487, 1566]]
['黄佐', [1490, 1566]]
['黃佐', [1490, 1566]]
['仇英', [1494, 1552]]
['張之象', [1496, 1577]]
['黃省曾', [1496, 1546]]
['柯維騏', [1497, 1574]]
['謝榛', [1499, 1579]]
['鄭曉', [1499, 1566]]
['薛應旂', [1500, 1574]]
['田汝成', [1503, 1557]]
['吳承恩', [1506, 1582]]
['何良俊', [1506, 1573]]
['熊過', [1506]]
['歸有光', [1507, 1571]]
['唐順之', [1507, 1560]]
['錢穀', [1509, 1578]]
['胡宗憲', [1512, 1565]]
['茅坤', [1512, 1601]]
['韓叔陽', [1512, 1565]]
['李攀龍', [1514, 1570]]
